Data
"1 
65453 65452 65449 65462 65437 65455 65440 65447 65441 65452 65455 65443 65460 65430 65440 65443 65451 65438 65454 65440 65463 65449 65449 65446 65454 65444 65449 654óx€øx€€€xxxxø€€€€€€€€€€ø€€€€€ø€€€€€€€€ø€xø€øø€x€x€€€x€øxø€€x€€xxø€xxxx€xø€x€xx€€xxx€xxxx€xx€xøxøøxø€€x€ø€€€xø€xxx€xx€xx€xxxx€€xx€x€xx€x€x€xx€xx€øxøxøx€x€øx€x€x€øxø€€€x€ø€xxx€xxx€ø€€xxxxxø€øøxxxx€x€xøxø€€€€xxx€x€xøxø€€€€x€xx€x€xøxø€€€€xøx€€øx€x€xøxø€€€€xø€xx€x€xøxø€€€€xøøxx€x€xøxø€€€€x€xøxø€xxxø€x€€x€x€øøxøxxx€€x€øxøxø€€x€øxøx€xø€€x€€€€x€x€€€€€xøxxxøxø€ø€x€øxøx€xø€€x€€€€x€x€€€€øxøxxxøxø€€€€€x€øxøx€xø€€ø€€€øø€€€€€xøxxxøxø€x€€€€ø€€€€€x€øxøx€xø€€ø€€€€€ø€€€xøxxxøxø€€ø€ø€€€x€x€xøøx€x€€€ø€€€€€€ø€€x€ÿMLX90640 IR Array Example
MLX90640 online!
65479 65452 65449 65453 65458 65451 65462 65448 65464 65461 65467 65460 65454 65448 65470 65450 65469 65443 65464 65441 65448 65442 65452 65455 65462 65439 65463 65427 65470 65432 65450 65432 
65462 65457 65457 65459 65462 65449 65454 65450 65453 65442 65449 65447 65449 65457 65434 65441 65459 65446 65446 65455 65457 65438 65440 65458 65458 65434 65459 65437 65469 65449 65445 65432 
65477 65457 65455 65454 65484 65471 65456 65446 65464 65468 65452 65444 65466 65461 65457 65438 65462 65454 65450 65434 65466 65461 65451 65430 65461 65451 65458 65432 65462 65448 65460 65437 
65465 65450 65450 65452 65465 65451 65450 65444 65464 65459 65445 65443 65474 65447 65445 65444 65450 65440 65456 65449 65448 65445 65439 65433 65449 65455 65448 65437 65448 65452 65449 65437 
65474 65460 65464 65462 65465 65464 65458 65450 65455 65450 65466 65444 65475 65453 65457 65446 65471 65445 65456 65449 65466 65446 65462 65444 65458 65437 65449 65446 65455 65450 65470 65437 
65467 65463 65430 65454 65456 65454 65453 65449 65454 65455 65444 65434 65455 65447 65452 65448 65453 65461 65442 65443 65460 65452 65449 65443 65446 65441 65448 65446 65448 65446 65443 65439 
65458 65455 65458 65462 65458 65466 65458 65440 65458 65443 65462 65447 65473 65456 65466 65451 65456 65454 65455 65446 65465 65455 65460 65446 65473 65446 65457 65444 65461 65446 65453 65436 
65447 65460 65437 65449 65450 65447 65442 65447 65447 65449 65447 65453 65454 65452 65447 65451 65461 65462 65439 65447 65455 65442 65440 65444 65455 65449 65449 65451 65443 65437 65439 65430 
65463 65471 65460 65453 65443 65459 65466 65456 65457 65449 65459 65449 65453 65458 65445 65431 65459 65454 65457 65437 65445 65459 65463 65431 65441 65441 65453 65436 65461 65445 65460 65426 
65451 65439 65443 65455 65447 65445 65450 65454 65455 65444 65447 65448 65449 65448 65444 65439 65455 65433 65445 65442 65445 65445 65441 65444 65458 65428 65445 65434 65449 65435 65439 65432 
65459 65457 65459 65447 65462 65445 65455 65444 65449 65455 65445 65437 65453 65452 65447 65437 65452 65450 65458 65446 65443 65448 65451 65437 65465 65442 65441 65425 65447 65444 65455 65441 
65458 65447 65438 65450 65459 65445 65447 65449 65449 65446 65433 65436 65458 65436 65447 65428 65441 65433 65447 65436 65446 65435 65440 65434 65451 65429 65422 65437 65455 65419 65435 65435 
65470 65453 65449 65446 65450 65447 65451 65447 65451 65446 65463 65447 65456 65448 65454 65440 65455 65450 65454 65441 65452 65435 65452 65432 65454 65435 65453 65432 65455 65438 65462 65435 
65448 65438 65443 65453 65443 65439 65451 65448 65439 65437 65427 65450 65447 65439 65437 65435 65458 65423 65444 65455 65454 65429 65454 65437 65446 65431 65442 65425 65443 65433 65441 65432 
65454 65460 65457 65463 65445 65454 65452 65451 65465 65444 65457 65444 65443 65453 65471 65447 65443 65443 65455 65441 65452 65443 65458 65443 65448 65437 65447 65433 65467 65444 65451 65439 
65442 65430 65450 65429 65439 65429 65427 65438 65458 65436 65427 65429 65438 65442 65444 65448 65436 65438 65445 65440 65451 65445 65443 65429 65452 65436 65440 65432 65450 65422 65442 65418 
65459 65458 65460 65457 65453 65451 65457 65449 65447 65453 65467 65449 65456 65445 65451 65451 65460 65436 65448 65447 65450 65436 65456 65445 65459 65432 65457 65445 65457 65439 65448 65438 
65435 65443 65440 65441 65431 65431 65416 65441 65422 65435 65446 65434 65436 65436 65429 65439 65435 65423 65426 65439 65434 65435 65443 65430 65437 65419 65421 65450 65437 65438 65424 65436 
65454 65451 65454 65441 65453 65443 65452 65443 65467 65457 65435 65436 65464 65447 65453 65432 65451 65452 65446 65457 65446 65448 65455 65441 65454 65442 65460 65429 65457 65434 65464 65429 
65428 65435 65430 65441 65435 65420 65423 65427 65440 65443 65419 65438 65429 65438 65431 65429 65439 65427 65421 65442 65433 65436 65441 65440 65443 65431 65429 65431 65437 65426 65436 65432 
65451 65445 65452 65447 65450 65444 65451 65440 65440 65445 65447 65445 65441 65430 65450 65447 65454 65441 65451 65444 65459 65433 65455 65428 65445 65440 65464 65427 65456 65432 65459 65424 
65420 65434 65399 65433 65419 65419 65418 65433 65415 65423 65418 65436 65418 65437 65415 65440 65421 65425 65417 65425 65438 65417 65405 65425 65419 65427 65440 65421 65447 65437 65423 65437 
65438 65434 65428 65427 65448 65432 65453 65434 65439 65447 65444 65433 65448 65441 65455 65442 65451 65427 65432 65437 65448 65448 65450 65438 65451 65436 65440 65434 65445 65431 65464 65434 
65389 65404 65396 65424 65416 65418 65401 65426 65407 65411 65411 65412 65431 65415 65410 65416 65416 65418 65406 65439 65434 65430 65407 65427 65410 65421 65410 65423 65419 65412 65416 65416 
"
"
65475 65452 65459 65450 65473 65453 65474 65450 65463 65449 65482 65434 65460 65442 65454 65434 65473 65438 65473 65450 65466 65422 65458 65438 65458 65440 65463 65425 65453 65429 65448 65419 
65457 65448 65461 65470 65454 65468 65439 65466 65449 65450 65447 65438 65437 65446 65445 65450 65447 65434 65454 65453 65459 65433 65447 65445 65450 65430 65437 65445 65457 65432 65448 65439 
65473 65457 65469 65445 65457 65456 65457 65450 65467 65465 65470 65453 65467 65451 65458 65433 65462 65457 65470 65429 65467 65446 65441 65434 65466 65443 65444 65433 65454 65429 65458 65419 
65469 65447 65444 65447 65457 65456 65443 65454 65454 65453 65449 65453 65444 65445 65436 65443 65451 65434 65443 65426 65439 65439 65445 65447 65438 65437 65438 65447 65445 65437 65451 65435 
65471 65470 65459 65456 65449 65446 65465 65437 65450 65453 65467 65450 65453 65444 65464 65444 65460 65445 65456 65451 65458 65442 65475 65433 65459 65448 65460 65431 65445 65435 65467 65432 
65451 65470 65438 65452 65467 65450 65449 65451 65445 65438 65441 65458 65460 65442 65445 65447 65463 65441 65436 65436 65449 65443 65449 65433 65451 65439 65442 65437 65436 65431 65439 65442 
65458 65469 65462 65460 65458 65468 65459 65436 65446 65446 65464 65453 65457 65457 65461 65448 65461 65458 65467 65453 65459 65443 65453 65440 65457 65449 65459 65456 65442 65443 65452 65436 
65450 65453 65442 65469 65440 65454 65437 65443 65450 65445 65445 65452 65459 65438 65459 65449 65463 65447 65434 65448 65459 65435 65451 65444 65449 65438 65435 65443 65458 65426 65435 65444 
65462 65467 65455 65460 65447 65457 65463 65459 65453 65467 65462 65448 65447 65453 65472 65453 65472 65450 65449 65438 65456 65453 65452 65434 65443 65444 65456 65447 65448 65433 65444 65425 
65450 65440 65440 65457 65443 65442 65454 65464 65452 65440 65438 65451 65447 65439 65434 65457 65447 65439 65433 65444 65445 65442 65434 65439 65446 65428 65438 65436 65442 65426 65434 65430 
