Data
"4.06 -4.21 4.21 -1.21 -13.16 -9.23 -9.99 -15.19 -1.91 -18.08 -0.73 -8.21 -9.88 -30.23 -0.94 -11.22 -21.10 -24.23 -2.65 -11.15 -3.81 -22.18 5.41 -8.15 
-6.65 -0.51 1.10 1.06 -7.89 -7.57 -6.89 -0.94 -0.92 8.58 -11.15 1.06 -13.90 -7.61 -13.87 -12.96 -2.89 -0.61 -8.83 -8.93 5.15 12.43 -1.79 -3.65 
15.09 -3.17 11.25 -2.17 1.88 -13.17 0.03 -6.18 -4.11 -0.21 -5.71 -3.17 10.15 -5.98 2.07 -19.18 -5.83 -8.00 -3.63 -15.17 -10.77 -5.14 -8.81 1.85 
7.42 3.55 19.17 -3.86 1.42 -8.45 4.15 2.11 0.42 0.47 12.15 -3.89 3.14 -6.53 0.17 -10.90 -5.56 -0.57 -15.80 -6.92 -4.80 1.53 -7.75 -5.62 
7.14 0.93 0.07 3.87 3.15 12.89 8.07 2.87 1.19 -0.15 -7.65 7.86 -2.07 -15.15 -15.86 -7.13 12.22 1.83 5.14 3.87 -23.74 6.89 -6.54 -12.11 
0.49 1.42 6.21 3.20 7.18 -5.63 -8.79 3.18 -4.80 8.57 1.22 1.16 -9.80 0.57 -1.75 -0.84 0.21 -5.49 -5.76 2.15 -11.75 1.57 -5.70 2.15 
-8.81 -3.06 -4.89 -14.30 -2.05 -6.09 -6.65 1.69 -0.06 16.86 -8.63 -7.32 -1.78 -15.13 5.39 2.90 -14.77 -9.09 -4.56 -15.28 14.28 -1.29 -5.52 -0.05 
"
"
-6.08 -6.75 -19.28 -13.09 -8.06 -24.73 -3.03 -4.33 4.96 13.17 -11.25 -2.10 -11.01 0.23 -8.97 -5.09 -15.99 -9.79 -1.93 -13.06 -14.94 -18.67 -7.16 -11.06 
-1.20 -5.29 7.95 6.53 -13.20 5.71 4.98 0.71 -11.16 -0.48 2.01 -2.29 -11.14 3.90 9.03 -11.26 -20.11 -0.10 -11.91 -10.23 -6.07 -2.22 -13.85 0.95 
-3.84 7.23 9.94 6.66 0.93 1.21 4.73 2.67 10.96 -4.81 -1.01 1.66 -4.01 6.19 -9.25 -10.09 -3.99 -3.61 8.04 -5.07 -4.96 -15.71 2.11 -8.07 
